,LogStartTime,LogID,PullNumber,PullDuration,BossPercentage,FightPercentage,LastPhase,LastPhaseIntermission,P2Glitch,P3Defamation
63,1674651058131,DJ4Z7LkzYdXNPfbQ,74,71125,49.86,94.98,1,0,N,N
64,1674651147542,DJ4Z7LkzYdXNPfbQ,75,40650,68.65,96.86,1,0,N,N
65,1674651204475,DJ4Z7LkzYdXNPfbQ,76,52321,56.65,95.66,1,0,N,N
66,1674651269639,DJ4Z7LkzYdXNPfbQ,77,50352,61.96,96.19,1,0,N,N
67,1674651400530,DJ4Z7LkzYdXNPfbQ,78,109339,25.27,92.52,1,0,N,N
68,1674651524582,DJ4Z7LkzYdXNPfbQ,79,59118,56.8,95.68,1,0,N,N
69,1674651596951,DJ4Z7LkzYdXNPfbQ,80,68371,51.46,95.14,1,0,N,N
70,1674651679320,DJ4Z7LkzYdXNPfbQ,81,110157,28.34,92.83,1,0,N,N
71,1674651808335,DJ4Z7LkzYdXNPfbQ,82,109562,30.59,93.05,1,0,N,N
72,1674651932660,DJ4Z7LkzYdXNPfbQ,83,103965,39.54,93.95,1,0,N,N
73,1674652051296,DJ4Z7LkzYdXNPfbQ,84,91982,30.08,93.0,1,0,N,N
74,1674652232063,DJ4Z7LkzYdXNPfbQ,85,104213,27.89,92.78,1,0,N,N
75,1674652350943,DJ4Z7LkzYdXNPfbQ,86,54374,58.65,95.86,1,0,N,N
76,1674652421473,DJ4Z7LkzYdXNPfbQ,87,121778,21.17,92.11,1,0,N,N
77,1674652561529,DJ4Z7LkzYdXNPfbQ,88,39922,69.98,96.99,1,0,N,N
78,1674652767269,DJ4Z7LkzYdXNPfbQ,89,112826,23.21,92.32,1,0,N,N
79,1674653018130,DJ4Z7LkzYdXNPfbQ,90,133044,14.63,91.46,1,0,N,N
80,1674653334880,DJ4Z7LkzYdXNPfbQ,91,124903,19.25,91.92,1,0,N,N
81,1674653555867,DJ4Z7LkzYdXNPfbQ,92,43283,63.05,96.3,1,0,N,N
82,1674653615782,DJ4Z7LkzYdXNPfbQ,93,124745,24.62,92.46,1,0,N,N
83,1674653761925,DJ4Z7LkzYdXNPfbQ,94,52190,57.81,95.78,1,0,N,N
84,1674653836202,DJ4Z7LkzYdXNPfbQ,95,133570,18.39,91.83,1,0,N,N
85,1674653993976,DJ4Z7LkzYdXNPfbQ,96,133846,9.16,90.91,1,0,N,N
86,1674654252140,DJ4Z7LkzYdXNPfbQ,97,54323,54.09,95.4,1,0,N,N
87,1674654324930,DJ4Z7LkzYdXNPfbQ,98,96107,30.43,93.04,1,0,N,N
88,1674654446867,DJ4Z7LkzYdXNPfbQ,99,67775,49.31,94.93,1,0,N,N
89,1674654537251,DJ4Z7LkzYdXNPfbQ,100,45305,61.67,96.16,1,0,N,N
90,1674654601616,DJ4Z7LkzYdXNPfbQ,101,45359,60.74,96.07,1,0,N,N
91,1674654672422,DJ4Z7LkzYdXNPfbQ,102,39444,66.63,96.66,1,0,N,N
92,1674654881982,DJ4Z7LkzYdXNPfbQ,103,120649,19.7,91.97,1,0,N,N
93,1674655024271,DJ4Z7LkzYdXNPfbQ,104,120384,18.26,91.82,1,0,N,N
94,1674655166727,DJ4Z7LkzYdXNPfbQ,105,65627,49.1,94.91,1,0,N,N
95,1674655266225,DJ4Z7LkzYdXNPfbQ,106,133765,7.91,90.79,1,0,N,N
96,1674655448514,DJ4Z7LkzYdXNPfbQ,107,133801,2.87,90.28,1,0,N,N
97,1674655683128,DJ4Z7LkzYdXNPfbQ,108,61028,54.21,95.42,1,0,N,N
98,1674655761430,DJ4Z7LkzYdXNPfbQ,109,54202,56.35,95.63,1,0,N,N
99,1674655835499,DJ4Z7LkzYdXNPfbQ,110,60996,51.8,95.18,1,0,N,N
100,1674655918078,DJ4Z7LkzYdXNPfbQ,111,74944,47.82,94.78,1,0,N,N
101,1674656064562,DJ4Z7LkzYdXNPfbQ,112,59967,54.47,95.44,1,0,N,N
102,1674656149755,DJ4Z7LkzYdXNPfbQ,113,67976,48.38,94.83,1,0,N,N
103,1674656237772,DJ4Z7LkzYdXNPfbQ,114,180512,80.79,88.07,2,0,R,N
104,1674656522048,DJ4Z7LkzYdXNPfbQ,115,180856,79.31,87.93,2,0,M,N
105,1674656775954,DJ4Z7LkzYdXNPfbQ,117,120068,18.11,91.81,1,0,N,N
106,1674656913398,DJ4Z7LkzYdXNPfbQ,118,108840,23.33,92.33,1,0,N,N
107,1674657040744,DJ4Z7LkzYdXNPfbQ,119,54021,55.51,95.55,1,0,N,N
108,1674657119553,DJ4Z7LkzYdXNPfbQ,120,181018,74.99,87.49,2,0,M,N
109,1674657378101,DJ4Z7LkzYdXNPfbQ,121,56638,53.73,95.37,1,0,N,N
110,1674657451624,DJ4Z7LkzYdXNPfbQ,122,112148,20.31,92.03,1,0,N,N
111,1674727641363,Q6ARnjw1ypMfvG3V,10,62900,51.36,95.13,1,0,N,N
112,1674727796817,Q6ARnjw1ypMfvG3V,11,55543,54.04,95.4,1,0,N,N
113,1674727986934,Q6ARnjw1ypMfvG3V,12,65557,50.3,95.03,1,0,N,N
114,1674728071245,Q6ARnjw1ypMfvG3V,13,54265,56.26,95.62,1,0,N,N
115,1674728155509,Q6ARnjw1ypMfvG3V,14,124649,19.53,91.95,1,0,N,N
116,1674728326295,Q6ARnjw1ypMfvG3V,15,60865,52.74,95.27,1,0,N,N
117,1674728410018,Q6ARnjw1ypMfvG3V,16,104929,27.01,92.7,1,0,N,N
118,1674728552862,Q6ARnjw1ypMfvG3V,17,92303,28.61,92.86,1,0,N,N
119,1674728666683,Q6ARnjw1ypMfvG3V,18,68948,49.73,94.97,1,0,N,N
120,1674728756642,Q6ARnjw1ypMfvG3V,19,45292,60.5,96.05,1,0,N,N
121,1674728829882,Q6ARnjw1ypMfvG3V,20,72518,47.83,94.78,1,0,N,N
122,1674728921865,Q6ARnjw1ypMfvG3V,21,50677,62.42,96.24,1,0,N,N
123,1674728991587,Q6ARnjw1ypMfvG3V,22,121766,15.21,91.52,1,0,N,N
124,1674729439212,Q6ARnjw1ypMfvG3V,23,43261,61.22,96.12,1,0,N,N
125,1674729499475,Q6ARnjw1ypMfvG3V,24,63222,46.93,94.69,1,0,N,N
126,1674729586907,Q6ARnjw1ypMfvG3V,25,127621,14.41,91.44,1,0,N,N
127,1674729851228,Q6ARnjw1ypMfvG3V,26,72979,47.65,94.76,1,0,N,N
128,1674729953034,Q6ARnjw1ypMfvG3V,27,63353,50.62,95.06,1,0,N,N
129,1674730056451,Q6ARnjw1ypMfvG3V,29,43338,61.61,96.16,1,0,N,N
130,1674730119436,Q6ARnjw1ypMfvG3V,30,104365,21.79,92.17,1,0,N,N
131,1674730266977,Q6ARnjw1ypMfvG3V,31,133924,5.19,90.51,1,0,N,N
132,1674730676858,Q6ARnjw1ypMfvG3V,32,61306,53.43,95.34,1,0,N,N
133,1674730757094,Q6ARnjw1ypMfvG3V,33,51926,56.25,95.62,1,0,N,N
134,1674730831693,Q6ARnjw1ypMfvG3V,34,45342,59.22,95.92,1,0,N,N
135,1674730899819,Q6ARnjw1ypMfvG3V,35,111404,22.96,92.29,1,0,N,N
136,1674731030529,Q6ARnjw1ypMfvG3V,36,120373,17.97,91.79,1,0,N,N
137,1674731179859,Q6ARnjw1ypMfvG3V,37,146757,21.31,92.13,1,0,N,N
138,1674731380440,Q6ARnjw1ypMfvG3V,38,117467,13.34,91.33,1,0,N,N
139,1674731709802,Q6ARnjw1ypMfvG3V,39,98076,31.5,93.15,1,0,N,N
140,1674731826996,Q6ARnjw1ypMfvG3V,40,82590,37.96,93.79,1,0,N,N
141,1674731928780,Q6ARnjw1ypMfvG3V,41,63295,49.2,94.92,1,0,N,N
142,1674732009845,Q6ARnjw1ypMfvG3V,42,97874,28.68,92.86,1,0,N,N
143,1674732129635,Q6ARnjw1ypMfvG3V,43,51889,56.21,95.62,1,0,N,N
144,1674732200424,Q6ARnjw1ypMfvG3V,44,103752,27.44,92.74,1,0,N,N
145,1674732464431,Q6ARnjw1ypMfvG3V,45,91880,26.16,92.61,1,0,N,N
146,1674732575392,Q6ARnjw1ypMfvG3V,46,45317,60.69,96.06,1,0,N,N
147,1674732638987,Q6ARnjw1ypMfvG3V,47,97777,27.83,92.78,1,0,N,N
148,1674732823084,Q6ARnjw1ypMfvG3V,48,103905,19.27,91.92,1,0,N,N
149,1674733044854,Q6ARnjw1ypMfvG3V,49,50381,56.77,95.67,1,0,N,N
150,1674733114439,Q6ARnjw1ypMfvG3V,50,54432,55.19,95.51,1,0,N,N
151,1674733188338,Q6ARnjw1ypMfvG3V,51,55113,54.64,95.46,1,0,N,N
152,1674733262781,Q6ARnjw1ypMfvG3V,52,133936,2.9,90.29,1,0,N,N
153,1674733472853,Q6ARnjw1ypMfvG3V,53,56667,52.11,95.21,1,0,N,N
154,1674733622926,Q6ARnjw1ypMfvG3V,54,114249,15.38,91.53,1,0,N,N
155,1674733801486,Q6ARnjw1ypMfvG3V,55,191725,70.1,87.01,2,0,M,N
156,1674734024929,Q6ARnjw1ypMfvG3V,56,121738,16.32,91.63,1,0,N,N
157,1674734166874,Q6ARnjw1ypMfvG3V,57,113203,18.54,91.85,1,0,N,N
158,1674734299234,Q6ARnjw1ypMfvG3V,58,122983,16.25,91.62,1,0,N,N
159,1674734489781,Q6ARnjw1ypMfvG3V,59,52140,56.96,95.69,1,0,N,N
160,1674734564447,Q6ARnjw1ypMfvG3V,60,112765,23.04,92.3,1,0,N,N
161,1674734711418,Q6ARnjw1ypMfvG3V,61,73108,43.54,94.35,1,0,N,N
162,1674736088307,Q6ARnjw1ypMfvG3V,62,45280,61.96,96.19,1,0,N,N
163,1674736149807,Q6ARnjw1ypMfvG3V,63,104173,25.34,92.53,1,0,N,N
164,1674736276115,Q6ARnjw1ypMfvG3V,64,181526,72.24,87.22,2,0,R,N
165,1674736480402,Q6ARnjw1ypMfvG3V,65,121009,13.18,91.31,1,0,N,N
166,1674736619610,Q6ARnjw1ypMfvG3V,66,68918,47.74,94.77,1,0,N,N
167,1674736706498,Q6ARnjw1ypMfvG3V,67,116566,24.06,92.4,1,0,N,N
168,1674736844169,Q6ARnjw1ypMfvG3V,68,103532,26.64,92.66,1,0,N,N
169,1674736968280,Q6ARnjw1ypMfvG3V,69,134074,2.36,90.23,1,0,N,N
170,1674737123336,Q6ARnjw1ypMfvG3V,70,115952,20.67,92.06,1,0,N,N
171,1674737257355,Q6ARnjw1ypMfvG3V,71,60887,51.15,95.11,1,0,N,N
172,1674737336186,Q6ARnjw1ypMfvG3V,72,97940,30.7,93.07,1,0,N,N
173,1674737453231,Q6ARnjw1ypMfvG3V,73,94202,33.6,93.36,1,0,N,N
174,1674737566041,Q6ARnjw1ypMfvG3V,74,37509,67.33,96.73,1,0,N,N
175,1674737648516,Q6ARnjw1ypMfvG3V,75,90751,30.18,93.01,1,0,N,N
176,1674737797971,Q6ARnjw1ypMfvG3V,77,132677,3.72,90.37,1,0,N,N
177,1674737976682,Q6ARnjw1ypMfvG3V,78,65887,48.31,94.83,1,0,N,N
178,1674738070598,Q6ARnjw1ypMfvG3V,79,49738,58.77,95.87,1,0,N,N
179,1674738139552,Q6ARnjw1ypMfvG3V,80,112891,18.7,91.87,1,0,N,N
180,1674738432009,Q6ARnjw1ypMfvG3V,81,33956,68.96,96.89,1,0,N,N
181,1674738491499,Q6ARnjw1ypMfvG3V,82,111944,23.49,92.34,1,0,N,N
182,1674738657914,Q6ARnjw1ypMfvG3V,83,181464,70.76,87.07,2,0,M,N
183,1674738892664,Q6ARnjw1ypMfvG3V,84,134366,0.39,90.03,1,0,N,N
184,1674739093090,Q6ARnjw1ypMfvG3V,85,43242,64.78,96.47,1,0,N,N
185,1674739155517,Q6ARnjw1ypMfvG3V,86,47232,59.09,95.9,1,0,N,N
186,1674739230256,Q6ARnjw1ypMfvG3V,87,121100,14.75,91.47,1,0,N,N
187,1674739529649,Q6ARnjw1ypMfvG3V,89,124467,14.86,91.48,1,0,N,N
188,1674739884845,Q6ARnjw1ypMfvG3V,90,54292,57.39,95.73,1,0,N,N
189,1674739991494,Q6ARnjw1ypMfvG3V,91,58538,52.52,95.25,1,0,N,N
190,1674740075250,Q6ARnjw1ypMfvG3V,92,134196,4.59,90.45,1,0,N,N
191,1674740259874,Q6ARnjw1ypMfvG3V,93,112807,26.75,92.67,1,0,N,N
192,1674740435268,Q6ARnjw1ypMfvG3V,94,43655,59.89,95.98,1,0,N,N
193,1674740501079,Q6ARnjw1ypMfvG3V,95,103684,22.37,92.23,1,0,N,N
194,1674740758571,Q6ARnjw1ypMfvG3V,96,179317,69.11,86.91,2,0,M,N
195,1674741078543,Q6ARnjw1ypMfvG3V,97,120850,18.11,91.81,1,0,N,N
196,1674741223487,Q6ARnjw1ypMfvG3V,98,95267,35.59,93.55,1,0,N,N
197,1674741354930,Q6ARnjw1ypMfvG3V,99,181492,70.56,87.05,2,0,M,N
198,1674741594999,Q6ARnjw1ypMfvG3V,100,133974,10.09,91.0,1,0,N,N
199,1674986784298,gBYPxnLW1w3zMahQ,9,51863,55.92,95.59,1,0,N,N
200,1674986853037,gBYPxnLW1w3zMahQ,10,97778,25.54,92.55,1,0,N,N
201,1674986968931,gBYPxnLW1w3zMahQ,11,61086,50.76,95.07,1,0,N,N
202,1674987050009,gBYPxnLW1w3zMahQ,12,97922,27.38,92.73,1,0,N,N
203,1674987168950,gBYPxnLW1w3zMahQ,13,45351,59.57,95.95,1,0,N,N
204,1674987232104,gBYPxnLW1w3zMahQ,14,43121,60.02,96.0,1,0,N,N
205,1674987293575,gBYPxnLW1w3zMahQ,15,122511,17.65,91.76,1,0,N,N
206,1674987434078,gBYPxnLW1w3zMahQ,16,100018,24.78,92.47,1,0,N,N
207,1674987552755,gBYPxnLW1w3zMahQ,17,54606,54.24,95.42,1,0,N,N
208,1674987625721,gBYPxnLW1w3zMahQ,18,123881,13.33,91.33,1,0,N,N
209,1674987786125,gBYPxnLW1w3zMahQ,19,180598,67.52,86.75,2,0,R,N
210,1674988407847,gBYPxnLW1w3zMahQ,20,133684,11.46,91.14,1,0,N,N
211,1674988577993,gBYPxnLW1w3zMahQ,21,113470,20.36,92.03,1,0,N,N
212,1674988713416,gBYPxnLW1w3zMahQ,22,94436,26.35,92.63,1,0,N,N
