Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
19,Dragoon,https://www.fflogs.com/reports/932t8WVdLYMrnp6R#fight=11&type=damage-done,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,11797.1,1144.2s,10526.8,128.7s,12924.9,143.2s,11692.6,192.8s,10265.3,71.6s,12892.4,286.1s,11712.7,321.7s
20,Dragoon,https://www.fflogs.com/reports/xvAhQd9W2NZpGk7J#fight=11&type=damage-done,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,11791.6,1144.0s,10419.9,128.1s,12527.3,144.3s,12001.4,193.4s,10314.3,71.6s,12333.6,286.1s,12017.3,320.6s
21,Dragoon,https://www.fflogs.com/reports/HV6C2wR3Wtfm9bav#fight=37&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11788.3,1141.6s,10663.7,127.5s,12417.6,143.7s,12172.2,190.1s,9681.6,71.6s,13210.2,285.9s,11496.6,322.8s
22,Monk,https://www.fflogs.com/reports/nM8bLh27k3WqztG4#fight=5&type=damage-done,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,11781.7,1132.2s,11150.8,126.6s,12604.2,138.5s,10099.8,193.4s,12671.3,71.6s,13455.2,286.0s,11667.8,316.2s
23,Reaper,https://www.fflogs.com/reports/d16KL8vCzZfryPYk#fight=5&type=damage-done,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,11779.9,1145.6s,10589.2,127.9s,12528.3,144.6s,11377.2,193.3s,11507.9,71.6s,12654.0,286.2s,11852.4,322.0s
24,Dragoon,https://www.fflogs.com/reports/4Z6PpH9RXYrfmhkg#fight=24&type=damage-done,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,11776.4,1140.7s,9998.8,129.4s,13183.4,142.3s,11610.5,190.2s,10767.6,71.5s,12913.5,285.9s,11731.7,321.4s
25,Ninja,https://www.fflogs.com/reports/CGy1pBv7b3MAnmqj#fight=19&type=damage-done,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,11772.3,1140.2s,10492.6,129.3s,11839.2,143.3s,11278.3,189.4s,10801.3,71.6s,13926.0,286.0s,11693.6,320.5s
26,Monk,https://www.fflogs.com/reports/6gwNfhdJmvLc1jBQ#fight=17&type=damage-done,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,11769.5,1141.4s,10660.5,129.9s,12426.3,143.8s,11697.6,190.6s,10817.5,71.6s,12940.6,286.1s,11630.4,319.4s
27,Dragoon,https://www.fflogs.com/reports/DCwmcnFva9PRzJKf#fight=10&type=damage-done,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,11764.8,1138.6s,10899.0,129.6s,12145.5,144.9s,11911.5,186.8s,10760.6,71.6s,12299.2,286.1s,11854.0,319.6s
28,Monk,https://www.fflogs.com/reports/G1ZaF3yCjDN8hLpt#fight=22&type=damage-done,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,11756.4,1137.2s,10894.8,128.2s,12509.4,140.6s,11393.0,188.9s,10821.9,71.8s,13285.6,286.0s,11435.5,321.6s
29,Dragoon,https://www.fflogs.com/reports/LF7atQZz62rhgpvA#fight=16&type=damage-done,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,11755.8,1135.4s,10268.4,129.5s,11907.2,142.1s,11061.9,188.4s,13849.0,71.6s,13082.1,286.0s,11670.5,317.7s
30,Ninja,https://www.fflogs.com/reports/FQ1RJHjg7qmCtMXc#fight=12&type=damage-done,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,11755.6,1142.0s,10674.9,130.9s,12162.4,143.1s,11402.9,192.1s,8800.4,71.6s,14137.3,286.0s,11646.2,318.4s
31,Ninja,https://www.fflogs.com/reports/gLN6ckVHGR7Jrmhf#fight=7&type=damage-done,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,11748.3,1146.8s,11602.1,130.0s,12126.4,143.9s,10050.1,192.1s,12226.6,71.6s,13229.8,286.0s,11773.4,323.3s
32,Ninja,https://www.fflogs.com/reports/tFPhYGkvLmDXWx3b#fight=6&type=damage-done,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,11746.8,1143.9s,10521.5,129.5s,12576.6,145.0s,11140.8,191.8s,10140.9,71.6s,13654.6,285.9s,11643.2,320.2s
33,Ninja,https://www.fflogs.com/reports/dMHBfaw7cL3mDW2p#fight=17&type=damage-done,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,11740.3,1144.7s,10705.6,131.0s,11841.3,143.7s,11560.1,192.7s,9272.5,71.5s,13963.0,285.9s,11623.7,319.8s
34,Dragoon,https://www.fflogs.com/reports/6PmdQATDnwXzRyhf#fight=5&type=damage-done,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,11737.3,1143.2s,10136.4,130.1s,12643.2,143.6s,10684.8,193.2s,12598.8,71.6s,12638.4,286.1s,12102.7,318.6s
35,Dragoon,https://www.fflogs.com/reports/VWRnY482Gw61zZaL#fight=45&type=damage-done,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,11737.2,1140.8s,10640.0,129.1s,12021.9,142.3s,11558.5,188.6s,11088.0,71.4s,12902.5,286.0s,11756.8,323.4s
36,Reaper,https://www.fflogs.com/reports/N4GRXZh7PgbLJtKW#fight=16&type=damage-done,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,11735.9,1143.1s,11106.7,130.4s,11570.4,142.2s,11462.6,190.2s,12384.9,71.6s,12334.6,286.0s,11818.2,322.7s
37,Dragoon,https://www.fflogs.com/reports/z8nH3wJaXV9f1NTQ#fight=2&type=damage-done,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,11734.3,1141.5s,10502.3,129.3s,11768.0,143.1s,12116.8,191.0s,9590.2,71.6s,12985.0,286.1s,11858.4,320.5s
38,Dragoon,https://www.fflogs.com/reports/gJ31BjK8pVRXx2hN#fight=26&type=damage-done,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,11734.2,1142.6s,10469.5,129.4s,13015.0,142.2s,10973.2,192.4s,11414.4,71.6s,13289.4,286.1s,11484.0,320.8s
39,Ninja,https://www.fflogs.com/reports/2HxZqnLbmKAzF9VT#fight=47&type=damage-done,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,11731.0,1139.7s,10876.6,124.9s,12268.5,144.6s,11205.2,193.2s,10883.6,71.7s,13514.8,286.0s,11425.0,319.3s
40,Reaper,https://www.fflogs.com/reports/qNrn2BVgwv9cFTDZ#fight=7&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,11728.2,1147.9s,10637.2,131.1s,11912.5,144.0s,11183.4,192.7s,9781.9,71.6s,12944.8,286.0s,12255.1,322.6s
41,Reaper,https://www.fflogs.com/reports/68wAPWhxr9KbG3az#fight=13&type=damage-done,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,11718.9,1141.7s,10132.0,130.2s,12927.8,143.3s,10691.7,191.5s,13897.1,71.6s,11728.2,286.0s,12134.7,319.1s
42,Monk,https://www.fflogs.com/reports/F7mjY4pfVA6JQxda#fight=3&type=damage-done,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,11714.6,1139.0s,10602.1,126.5s,12336.9,144.6s,11536.0,190.4s,11101.2,71.4s,13248.7,286.1s,11374.0,320.0s
43,Ninja,https://www.fflogs.com/reports/cmL8Fx3nqPzMvgt2#fight=4&type=damage-done,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,11712.6,1139.5s,10659.7,129.2s,12331.6,143.4s,10372.5,189.8s,13016.9,71.8s,12752.3,286.1s,11917.4,319.1s
44,Monk,https://www.fflogs.com/reports/Q9pFwc36Jj4hxkMH#fight=15&type=damage-done,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,11712.2,1139.2s,11370.4,127.3s,11823.1,142.2s,11298.4,192.8s,10731.6,71.6s,12550.3,286.0s,11828.6,319.3s
45,Dragoon,https://www.fflogs.com/reports/a:8xDtnqrh7YdLFMAN#fight=26&type=damage-done,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,11711.9,1145.3s,10906.7,130.1s,12399.0,144.0s,10893.7,191.7s,12275.8,71.6s,12922.6,286.1s,11525.1,321.8s
46,Dragoon,https://www.fflogs.com/reports/DWRthTAKYvQGqmga#fight=14&type=damage-done,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,11709.9,1140.5s,10127.5,129.8s,12792.3,144.1s,11205.1,189.3s,13228.7,71.5s,12162.8,286.1s,11749.5,319.7s
47,Dragoon,https://www.fflogs.com/reports/KcWYj1twMmT76C4P#fight=26&type=damage-done,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,11708.3,1138.5s,10123.1,128.0s,11932.6,143.7s,11263.7,191.8s,11867.5,71.6s,13115.6,285.9s,11848.9,317.5s
48,Monk,https://www.fflogs.com/reports/9cAxTrRJdHwBbPg7#fight=10&type=damage-done,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,11708.0,1137.5s,11152.7,128.1s,11945.4,141.9s,11636.7,190.6s,9825.4,71.6s,12702.7,285.9s,11770.1,319.3s
49,Monk,https://www.fflogs.com/reports/vprfMVynBJRW793A#fight=9&type=damage-done,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,11704.5,1138.2s,10987.2,128.9s,12006.5,142.1s,11824.0,187.1s,10338.2,71.5s,13334.2,286.0s,11258.1,322.6s
50,Ninja,https://www.fflogs.com/reports/9DdVMtgxcQ46paZf#fight=18&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,11703.0,1141.1s,10662.6,129.5s,12485.9,142.6s,11272.4,191.8s,9715.5,71.5s,13473.4,286.0s,11585.0,319.7s
51,Ninja,https://www.fflogs.com/reports/GHNvfMwYr2ByAZnd#fight=6&type=damage-done,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,11690.8,1143.2s,11040.0,128.4s,12495.5,144.0s,10699.7,192.3s,12149.3,71.6s,13725.8,286.1s,11056.2,320.8s
52,Ninja,https://www.fflogs.com/reports/p9VwmJR8naNHxBK3#fight=12&type=damage-done,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,11690.4,1133.7s,10884.3,128.2s,12183.5,138.1s,11499.3,189.3s,10240.0,71.6s,13598.4,286.1s,11257.0,320.3s
53,Ninja,https://www.fflogs.com/reports/PdtgQmRYfDvkV21b#fight=13&type=damage-done,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,11687.0,1138.8s,10380.8,126.8s,11718.3,142.8s,12188.4,189.1s,8823.1,71.6s,13908.4,286.1s,11392.8,322.3s
54,Ninja,https://www.fflogs.com/reports/nhxFXKtLjNQ91adW#fight=14&type=damage-done,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,11683.7,1143.3s,10719.4,128.1s,12170.7,145.2s,10993.1,192.6s,11132.7,71.6s,13297.0,286.1s,11590.3,319.6s
55,Reaper,https://www.fflogs.com/reports/xpTdyGmBQcqfj1Pw#fight=5&type=damage-done,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,11683.1,1143.1s,10276.8,128.5s,13250.4,142.8s,11388.8,192.3s,11402.0,71.6s,11720.6,286.0s,11902.5,322.0s
56,Reaper,https://www.fflogs.com/reports/NpYmfZytW8TH7Gbd#fight=24&type=damage-done,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,11683.1,1142.6s,10641.6,128.8s,12039.4,143.2s,11057.9,191.9s,11190.4,71.6s,12674.7,286.1s,11974.2,320.9s
57,Ninja,https://www.fflogs.com/reports/MDVwRLxctAX2K3Pr#fight=4&type=damage-done,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,11681.4,1142.7s,10786.5,127.5s,11771.5,144.6s,11505.1,189.5s,10962.5,71.5s,13513.9,286.1s,11337.7,323.5s
58,Monk,https://www.fflogs.com/reports/RrALcPD9yvBCk2Fq#fight=4&type=damage-done,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,11679.7,1137.4s,10810.3,128.6s,11873.7,138.7s,10270.7,192.8s,12659.0,71.6s,13478.0,285.9s,11694.9,319.8s
59,Dragoon,https://www.fflogs.com/reports/qQd23N7AxKj1tnVg#fight=9&type=damage-done,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,11679.5,1138.7s,10592.0,129.0s,11820.2,142.7s,11536.3,188.2s,11292.6,71.5s,12024.9,286.2s,12122.2,321.1s
60,Reaper,https://www.fflogs.com/reports/AvfBzP1tLNZVaXQ8#fight=14&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,11678.8,1140.7s,11403.6,129.0s,11606.7,143.3s,11696.5,190.4s,10428.4,71.6s,12261.5,286.1s,11776.2,320.4s
61,Ninja,https://www.fflogs.com/reports/MKvm8qxPja9F1XGN#fight=14&type=damage-done,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,11675.1,1145.4s,10306.1,129.7s,11453.4,144.1s,11912.7,190.6s,10893.8,71.6s,13227.1,286.1s,11621.1,323.3s
62,Ninja,https://www.fflogs.com/reports/q3VtwLycC1dbKnX7#fight=2&type=damage-done,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,11674.6,1141.2s,11076.5,127.1s,12054.9,141.1s,11641.6,192.9s,10384.4,71.6s,13186.0,286.1s,11271.5,322.4s
