,Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
813,814,BlackMage,https://www.fflogs.com/reports/YjfhkmtKVWHgGLaZ#fight=24&type=damage-done,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,11092.7,1148.5,10478.8,130.4,10765.6,144.9,10356.3,193.4,12732.1,71.5,12494.8,286.1,10885.1,322.3
814,815,RedMage,https://www.fflogs.com/reports/LpF8gNzdcRZ9fjq6#fight=6&type=damage-done,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,11092.1,1143.1,10042.3,130.0,11582.4,144.2,10158.2,191.9,12238.1,71.6,12225.8,286.0,11100.7,319.5
815,816,Summoner,https://www.fflogs.com/reports/ypGq3MzFQba679vK#fight=75&type=damage-done,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,11090.1,1137.9,10205.7,127.2,11888.3,140.7,11313.6,189.7,10095.6,71.7,12046.7,285.9,10736.2,322.8
816,817,Summoner,https://www.fflogs.com/reports/PLfw9FHNJVbBdngZ#fight=29&type=damage-done,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,11090.0,1148.0,9677.8,130.2,11553.7,144.0,10810.5,193.1,11356.2,71.6,12289.0,286.0,11046.5,323.2
817,818,Summoner,https://www.fflogs.com/reports/f4YvA38Xmk9271HK#fight=23&type=damage-done,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,11089.7,1144.5,9858.8,129.5,12445.1,140.6,10990.9,193.7,9795.3,71.6,12783.5,285.9,10536.3,323.2
818,819,Dancer,https://www.fflogs.com/reports/qWdcVf7yvwBnAJ8k#fight=8&type=damage-done,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,11089.4,1138.3,9588.8,128.8,12230.8,140.8,11651.9,188.7,8450.7,71.6,12462.4,286.1,10807.9,322.3
819,820,BlackMage,https://www.fflogs.com/reports/PRYryAaZ69NpcVMJ#fight=18&type=damage-done,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,11089.4,1142.1,10456.8,129.5,11726.8,144.6,10500.2,192.2,11746.7,71.6,12723.7,286.1,10446.7,318.0
820,821,Summoner,https://www.fflogs.com/reports/xJHnG9gzZL3jM7rT#fight=22&type=damage-done,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,11089.4,1143.6,10437.8,129.2,11634.3,143.8,10199.8,191.4,11551.9,71.6,12376.1,286.0,10909.0,321.7
821,822,Summoner,https://www.fflogs.com/reports/wpK4yhkFZrWnMCVY#fight=17&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11088.8,1147.9,10574.2,129.7,11419.5,144.9,10639.2,192.6,10673.8,71.7,12178.3,286.0,10963.7,323.0
822,823,Samurai,https://www.fflogs.com/reports/X91h7Pn6tAay4mJR#fight=15&type=damage-done,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,11088.2,1141.5,10392.8,127.5,11200.2,142.8,11398.0,191.1,9813.5,71.7,11905.0,286.2,11011.2,322.1
823,824,Dancer,https://www.fflogs.com/reports/ghqp4YXL3RbDHfWw#fight=40&type=damage-done,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,11088.1,1146.3,9315.4,129.6,12016.0,142.4,11078.4,193.6,7745.4,71.6,13097.4,286.1,11165.5,322.9
824,825,Bard,https://www.fflogs.com/reports/n2grKRpJvNkwjD3b#fight=7&type=damage-done,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,11087.5,1136.7,8916.1,130.4,12299.6,137.3,11412.8,192.8,8886.9,71.6,12260.7,286.2,11281.4,318.4
825,826,Monk,https://www.fflogs.com/reports/vjGCxDrJbNWLhKca#fight=68&type=damage-done,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,11086.5,1142.8,10754.3,128.9,10915.5,143.8,10949.7,190.3,9152.2,71.6,12575.4,285.9,10999.6,322.4
826,827,Machinist,https://www.fflogs.com/reports/wc2NhmVktB4L9ZH8#fight=17&type=damage-done,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,11086.3,1136.6,9988.5,129.8,11896.0,143.9,10541.6,187.4,11790.5,71.7,12057.4,286.1,10914.3,317.6
827,828,Samurai,https://www.fflogs.com/reports/4taAZCfc8MnkrTjy#fight=7&type=damage-done,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,11085.7,1145.5,11035.1,130.4,12275.0,142.1,10732.9,193.4,13532.8,71.6,10624.0,286.1,10561.5,322.0
828,829,Samurai,https://www.fflogs.com/reports/dRbqzBPkAHmjpwrV#fight=23&type=damage-done,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,11085.6,1145.0,10764.6,129.7,11304.9,145.1,10437.0,190.6,12973.9,71.6,11693.8,286.0,10812.6,322.1
829,830,Summoner,https://www.fflogs.com/reports/fZ7XKA6gyzDY43Nd#fight=8&type=damage-done,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,11085.1,1128.2,10980.1,125.7,12507.6,136.7,9844.6,191.2,12821.8,71.6,11993.1,286.0,10436.1,317.0
830,831,Ninja,https://www.fflogs.com/reports/LDZAPnKNJYx9hGHm#fight=49&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11084.6,1146.8,10052.4,130.5,11569.0,144.9,10785.6,190.7,8647.6,71.6,12774.5,286.0,11145.2,323.1
831,832,Ninja,https://www.fflogs.com/reports/HV6C2wR3Wtfm9bav#fight=37&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11081.4,1141.6,10378.9,127.5,9970.5,143.7,11065.1,190.1,8789.9,71.6,13303.5,285.9,11181.6,322.8
832,833,Dragoon,https://www.fflogs.com/reports/hApdBrzVLNZJF2YX#fight=1&type=damage-done,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,11080.6,1144.4,10349.4,128.0,12258.6,143.3,10902.6,192.6,10100.2,71.6,12009.6,286.0,10734.0,322.9
833,834,Dragoon,https://www.fflogs.com/reports/8jX9YxvTVGDqLHFg#fight=10&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11079.4,1147.1,10088.2,129.2,11934.5,144.0,10064.1,193.8,12635.4,71.5,11582.0,285.9,11210.2,322.7
834,835,Monk,https://www.fflogs.com/reports/3YtKXRGvmQq2PJp1#fight=3&type=damage-done,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,11078.7,1143.5,10610.3,128.8,10971.4,142.8,11607.9,191.7,8541.0,71.6,12190.1,286.0,10958.8,322.7
835,836,Ninja,https://www.fflogs.com/reports/2CytgfnBDKH3pbN9#fight=22&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11077.7,1146.4,10410.3,128.1,11142.7,144.4,10996.2,193.2,8108.4,71.6,12720.5,286.1,11145.2,323.1
836,837,Ninja,https://www.fflogs.com/reports/94tjTfWDhaMZXm7b#fight=10&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,11077.6,1142.4,11062.0,128.4,11180.4,144.2,9694.7,192.3,11531.6,71.6,12231.1,286.1,11154.7,319.9
837,838,Summoner,https://www.fflogs.com/reports/d8D37fQHakGcYNLK#fight=22&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11077.4,1143.9,9837.7,128.3,12256.6,145.2,10600.0,191.2,10156.5,71.6,12858.2,286.0,10671.6,321.5
838,839,Monk,https://www.fflogs.com/reports/QmJkKNxaq19wrPnA#fight=31&type=damage-done,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,11077.2,1144.2,10065.3,130.2,11667.3,143.1,10308.4,193.2,10495.8,71.5,12669.4,286.1,11040.5,320.0
839,840,Ninja,https://www.fflogs.com/reports/2Bg6AYjt9TvNyFHc#fight=41&type=damage-done,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,11076.8,1148.5,9573.9,131.2,11868.1,144.8,11257.9,192.9,8594.2,71.4,12802.2,286.1,10941.7,322.0
840,841,Dancer,https://www.fflogs.com/reports/Hp43LRYzXyCJMPVm#fight=61&type=damage-done,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,11056.1,1141.0,9864.4,127.3,11970.5,142.8,11239.4,192.1,8231.1,71.5,12004.1,286.1,11194.8,321.2
841,842,Summoner,https://www.fflogs.com/reports/KHfwyn3qdhv7tLPp#fight=9&type=damage-done,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,11076.5,1138.0,9740.2,129.0,12669.5,142.2,10349.4,192.6,10738.6,71.6,12845.0,286.1,10586.3,316.6
842,843,Machinist,https://www.fflogs.com/reports/q3VtwLycC1dbKnX7#fight=2&type=damage-done,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,11076.4,1141.2,10093.8,127.1,11503.9,141.1,11057.2,192.9,10326.3,71.6,12319.0,286.1,10861.1,322.4
843,844,Dancer,https://www.fflogs.com/reports/LpF8gNzdcRZ9fjq6#fight=6&type=damage-done,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,11075.9,1143.1,9729.9,130.0,11405.3,144.2,9861.3,191.9,13962.4,71.6,12602.2,286.0,10893.5,319.5
844,845,Reaper,https://www.fflogs.com/reports/ZB3L7zDg9TKXFfj1#fight=17&type=damage-done,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,11075.6,1143.0,10304.6,127.4,11751.1,142.8,10893.1,192.7,9514.0,71.4,11933.8,286.0,11122.4,322.7
845,846,Samurai,https://www.fflogs.com/reports/4VBMZpmbvaKx9Qw6#fight=15&type=damage-done,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,11075.0,1142.4,10669.6,129.6,10969.4,142.5,10940.6,190.0,11125.0,71.6,12096.3,286.1,10836.4,322.6
846,847,Monk,https://www.fflogs.com/reports/2a6h9CLZpfmNKgyn#fight=14&type=damage-done,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,11074.9,1145.0,10742.2,128.7,10842.5,144.9,10912.5,192.7,9658.9,71.5,12583.7,286.1,10912.0,321.2
847,848,Summoner,https://www.fflogs.com/reports/gYDcJvbn3BVTZpKq#fight=13&type=damage-done,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,11073.9,1144.8,10006.1,128.5,11859.9,143.7,10511.3,193.3,10701.9,71.6,12451.1,286.1,10922.3,321.6
848,849,Ninja,https://www.fflogs.com/reports/cWHzdrCKLMTfGtvQ#fight=37&type=damage-done,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,11073.8,1137.0,10347.7,128.6,10043.3,141.1,10924.0,190.4,9961.9,71.6,13151.9,286.0,11057.3,319.3
849,850,Summoner,https://www.fflogs.com/reports/hX7B1zyVKqCHFZmw#fight=25&type=damage-done,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,11073.4,1139.4,10072.6,126.8,12111.6,142.3,10738.1,189.7,9960.5,71.6,12057.0,286.0,11003.0,322.9
850,851,Summoner,https://www.fflogs.com/reports/JQgzTBhZ76xXP2Ld#fight=4&type=damage-done,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,11073.1,1140.4,10362.2,127.7,11675.1,144.1,10585.9,191.7,10722.0,71.5,12064.9,285.9,10979.9,319.4
851,852,Dancer,https://www.fflogs.com/reports/MDVwRLxctAX2K3Pr#fight=4&type=damage-done,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,11072.9,1142.7,10183.6,127.5,11526.6,144.6,11518.1,189.5,7690.4,71.5,12450.0,286.1,10995.3,323.5
852,853,Monk,https://www.fflogs.com/reports/GChnF14NdWwbZjLM#fight=12&type=damage-done,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,11072.7,1136.2,10513.4,129.3,11527.0,140.9,10945.1,185.9,11002.8,71.6,11544.9,286.1,10985.5,322.5
853,854,Monk,https://www.fflogs.com/reports/a:vyzmLCkG6XbqArF3#fight=23&type=damage-done,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,11072.5,1146.2,10613.0,128.6,11295.8,145.1,10619.4,193.7,9724.6,71.6,12457.2,286.0,11002.5,321.3
854,855,Machinist,https://www.fflogs.com/reports/pXwWcMZ2FjNPqYry#fight=17&type=damage-done,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,11048.9,1132.0,10499.4,126.9,10989.7,141.2,10555.1,187.0,12688.5,71.5,12142.3,285.9,10691.1,319.4
855,856,Monk,https://www.fflogs.com/reports/D6BP29AYTXqp7wMc#fight=5&type=damage-done,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,11071.4,1142.1,10740.8,127.4,10848.9,143.3,10916.9,193.4,9589.9,71.6,11428.9,285.9,11533.0,320.5
856,857,Monk,https://www.fflogs.com/reports/zpMbxhfWHrVnZDg4#fight=13&type=damage-done,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,11070.1,1144.7,10620.6,128.4,11226.9,144.0,10993.6,191.5,8706.3,71.7,12517.3,286.0,10973.2,323.0
857,858,Summoner,https://www.fflogs.com/reports/VxH9vC6pzgDQ8ndR#fight=10&type=damage-done,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,11068.6,1144.7,9977.7,129.5,11732.0,143.4,10912.4,190.8,10118.1,71.6,12695.4,286.0,10727.0,323.4
858,859,Summoner,https://www.fflogs.com/reports/Kv3tARhj9gbPwJqT#fight=7&type=damage-done,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,11067.9,1144.1,10118.5,130.4,11635.1,144.2,10516.5,192.3,10594.4,71.6,12385.9,286.0,11003.2,319.5
859,860,Machinist,https://www.fflogs.com/reports/qMBn2xrZV9ypkgXR#fight=13&type=damage-done,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,11034.4,1133.0,10146.9,127.0,11051.4,144.6,10935.3,187.6,9714.4,71.6,12075.4,286.0,11221.1,316.2
860,861,Samurai,https://www.fflogs.com/reports/nQT71v3mWF6tqXyR#fight=21&type=damage-done,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,11067.0,1145.6,10449.6,130.2,11183.6,143.2,10938.2,193.8,10788.3,71.4,11877.1,286.0,11017.5,321.0
861,862,Summoner,https://www.fflogs.com/reports/JtQbRV8vAZaPxT3y#fight=7&type=damage-done,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,11066.9,1141.1,10078.7,129.3,11269.3,141.9,10434.9,194.0,11466.9,71.6,12740.4,285.9,10856.6,318.4
862,863,Machinist,https://www.fflogs.com/reports/3wfHQN1z4mtcMapr#fight=17&type=damage-done,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,11064.9,1145.8,9570.3,130.0,11655.7,141.5,11315.2,193.4,11049.5,71.5,11798.3,286.0,10999.9,323.4
863,864,Dancer,https://www.fflogs.com/reports/6AYx9NrmCc4vnh18#fight=10&type=damage-done,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,11064.9,1146.0,9587.7,129.7,10855.5,145.2,11538.0,193.2,8330.2,71.6,12958.0,285.9,11132.7,320.5
864,865,Samurai,https://www.fflogs.com/reports/PtbJVThfKqzpvYD8#fight=50&type=damage-done,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,11064.8,1137.9,10947.4,129.3,11002.0,143.1,10993.0,186.0,10895.3,71.6,11479.0,286.1,11001.6,321.8
865,866,Monk,https://www.fflogs.com/reports/3mHCVGKXrWjbJDpd#fight=21&type=damage-done,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,11064.8,1147.5,10242.5,129.3,11386.6,144.9,10785.4,192.7,9746.5,71.6,11891.2,286.0,11315.6,323.1
866,867,BlackMage,https://www.fflogs.com/reports/M3BfPw7VYqxWtkGd#fight=26&type=damage-done,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,11062.5,1143.7,10914.1,128.6,11080.0,144.6,10861.8,194.0,10272.4,71.6,11967.1,286.0,10922.7,318.8
867,868,Dancer,https://www.fflogs.com/reports/DRvT1myX9zVMPcQk#fight=20&type=damage-done,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,11062.4,1145.6,10063.9,129.4,11219.9,144.2,10065.5,192.6,12170.8,71.6,13075.9,286.0,10763.6,321.7
868,869,Samurai,https://www.fflogs.com/reports/rMxf4FB3k2pW8LRh#fight=8&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11061.8,1142.5,10406.3,130.5,11080.8,142.5,11155.2,189.6,9930.3,71.5,12007.2,286.0,11043.1,322.4
869,870,BlackMage,https://www.fflogs.com/reports/aYDJkA7z4Xd3qxWP#fight=44&type=damage-done,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,11061.1,1136.9,10720.8,128.2,11704.4,141.7,10705.2,189.8,12639.2,71.6,11700.6,286.1,10487.6,319.6
870,871,Dragoon,https://www.fflogs.com/reports/cKRHtxzrLZANfP3j#fight=12&type=damage-done,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,11060.7,1131.9,9646.3,126.0,11218.6,141.9,11757.3,187.4,9036.7,71.8,11572.0,285.9,11403.3,318.9
871,872,Machinist,https://www.fflogs.com/reports/cd24wjTA7RBaLFgQ#fight=15&type=damage-done,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,11058.6,1140.5,9527.6,127.9,11891.7,143.9,10082.7,192.4,12677.9,71.6,11961.7,286.2,11197.1,318.5
872,873,Dancer,https://www.fflogs.com/reports/BZbmy8VzPwhfFCQD#fight=11&type=damage-done,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,11058.5,1143.8,9552.8,130.6,11727.5,144.2,11306.3,191.6,8356.5,71.6,12814.2,286.1,10965.4,319.7
873,874,Dancer,https://www.fflogs.com/reports/XtMq8kfvRKZG1wVD#fight=20&type=damage-done,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,11057.8,1146.6,9700.6,128.4,13453.7,145.1,10133.8,192.5,10968.8,71.6,11601.6,286.1,10942.4,322.8
874,875,Machinist,https://www.fflogs.com/reports/b6KvDP4Wyhwkpmra#fight=9&type=damage-done,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,11057.3,1130.9,10150.7,127.4,11546.6,138.0,10734.8,188.9,11111.2,71.6,11627.7,286.1,11160.4,318.9
875,876,Dancer,https://www.fflogs.com/reports/PaypfW9Tw7bmR1M4#fight=2&type=damage-done,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,11056.5,1141.0,9432.6,129.7,11337.3,144.2,9849.4,190.4,14356.8,71.5,11763.4,285.9,11380.9,319.2
876,877,Dancer,https://www.fflogs.com/reports/LKpDMcmnQzwX4rFq#fight=2&type=damage-done,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,11055.8,1140.0,9309.9,130.1,11359.4,143.5,11050.7,191.8,8937.1,71.5,12768.8,285.9,11296.7,317.2
877,878,Summoner,https://www.fflogs.com/reports/Cj9xYhkRadzDmHgw#fight=8&type=damage-done,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,11055.8,1134.7,10111.1,128.2,11864.8,141.9,11170.6,189.4,9319.7,71.6,12325.6,285.9,10768.9,317.6
878,879,Bard,https://www.fflogs.com/reports/WLcJATfFtZv9d2Rb#fight=19&type=damage-done,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,11053.7,1131.2,9520.1,127.5,11571.5,141.7,11787.3,185.2,8847.6,71.6,12176.3,285.9,10996.1,319.3
879,880,Dancer,https://www.fflogs.com/reports/6f832BcXkKwvZqN1#fight=11&type=damage-done,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,11053.7,1142.4,9530.9,129.2,11198.7,143.7,11409.2,189.4,9423.2,71.5,12663.4,286.0,10987.3,322.6
880,881,Dragoon,https://www.fflogs.com/reports/pVF48G9DywQbCcqB#fight=30&type=damage-done,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,11053.2,1143.4,10015.0,130.8,12217.2,141.9,11485.7,190.5,9268.8,71.6,11334.9,286.0,11027.2,322.6
881,882,Dancer,https://www.fflogs.com/reports/qfhBv91FzDgYAwWn#fight=17&type=damage-done,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,11051.9,1146.3,9629.1,129.5,11847.2,143.4,11865.5,192.4,7856.0,71.6,12010.2,286.0,11055.5,323.4
882,883,Summoner,https://www.fflogs.com/reports/L41zh9ypFxZYTgdG#fight=1&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11051.4,1146.8,9881.5,129.2,11609.4,145.0,10550.7,193.0,10642.5,71.6,12596.4,285.9,10927.4,322.1
883,884,Monk,https://www.fflogs.com/reports/6BgTYjc2J8NLqWQ4#fight=7&type=damage-done,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,11051.1,1146.4,10700.7,129.7,11265.0,143.9,11220.4,191.9,9225.3,71.6,12553.1,286.0,10596.3,323.3
884,885,Dancer,https://www.fflogs.com/reports/dQ7Mwvr8LaFGfCbR#fight=18&type=damage-done,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,11050.5,1145.1,10101.7,130.2,11059.2,144.4,11410.0,190.4,9061.1,71.8,13202.3,286.1,10549.7,322.2
885,886,Bard,https://www.fflogs.com/reports/yfFhnm49Z3prwqWJ#fight=7&type=damage-done,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,11049.7,1137.1,9202.9,129.5,12643.3,141.9,11183.3,192.0,8617.7,71.6,11789.9,286.1,11296.5,316.1
886,887,Dragoon,https://www.fflogs.com/reports/GchXvqMf7tK19QJA#fight=22&type=damage-done,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,11049.6,1139.1,9938.3,130.5,11669.4,140.2,10710.3,191.4,10446.2,71.7,12183.6,286.0,11048.9,319.4
887,888,Samurai,https://www.fflogs.com/reports/FbBkaHGnvhjJ7mKT#fight=44&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11049.3,1143.6,9951.7,129.5,11964.0,142.1,10684.8,192.7,11557.3,71.4,11839.9,286.0,10881.3,321.8
888,889,Samurai,https://www.fflogs.com/reports/4cKGNB937aFzqdVD#fight=5&type=damage-done,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,11049.1,1148.0,11023.4,129.8,10262.3,145.7,11043.5,193.0,11362.2,71.7,11061.9,286.1,11339.1,321.6
889,890,Machinist,https://www.fflogs.com/reports/M9KZCdXxjTNLywPQ#fight=13&type=damage-done,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,11048.2,1139.6,10122.9,127.9,11560.1,142.2,10939.4,188.9,9733.5,71.7,12232.6,285.9,10971.2,323.0
890,891,BlackMage,https://www.fflogs.com/reports/Ygd9DVWvzb3FMGH7#fight=18&type=damage-done,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,11047.9,1143.4,10177.8,129.7,11955.7,143.7,9949.6,193.6,12687.6,71.6,12349.0,285.9,10698.8,319.0
891,892,Ninja,https://www.fflogs.com/reports/pVF48G9DywQbCcqB#fight=30&type=damage-done,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,11047.8,1143.4,10678.3,130.8,11277.8,141.9,11413.7,190.5,9513.4,71.6,12126.2,286.0,10651.0,322.6
892,893,Samurai,https://www.fflogs.com/reports/xg2hFQTtMZcHC6Nv#fight=6&type=damage-done,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,11047.2,1140.2,9898.3,128.5,11222.7,143.7,10901.4,191.5,10938.9,71.6,12249.2,286.0,10985.8,318.9
893,894,Summoner,https://www.fflogs.com/reports/QB4YCm8bJgNGdwnx#fight=13&type=damage-done,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,11047.1,1142.6,9983.5,128.3,12596.7,144.5,9939.5,192.0,11749.0,71.6,12352.7,286.0,10695.7,320.2
894,895,Dancer,https://www.fflogs.com/reports/mFHDgtrXLRCbaz3N#fight=11&type=damage-done,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,11046.9,1140.1,10055.3,127.7,11958.8,142.2,10855.2,192.3,8189.2,71.6,12740.0,286.0,10923.6,320.3
895,896,Summoner,https://www.fflogs.com/reports/cMTP9Ly1AN4Dw26k#fight=8&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11046.7,1145.4,9599.6,130.6,12041.9,143.0,11165.6,190.9,10156.1,71.6,11859.1,286.0,11002.4,323.3
896,897,Summoner,https://www.fflogs.com/reports/QTWZHhxRGz3wrnVX#fight=14&type=damage-done,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,11046.6,1131.8,10257.8,127.5,12455.1,140.5,11012.7,188.3,10167.0,71.6,11433.2,286.0,10821.3,317.9
897,898,Dancer,https://www.fflogs.com/reports/YV2H6Lm1dzRCW3xg#fight=24&type=damage-done,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,11046.6,1135.4,9984.0,126.4,11138.2,142.2,11201.3,190.8,8584.4,71.5,12424.1,286.1,11185.6,318.2
898,899,Samurai,https://www.fflogs.com/reports/b9BXhVxmynpYJ82W#fight=6&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11046.6,1145.9,10596.4,129.9,11578.7,144.0,10653.0,193.8,11950.1,71.6,11518.6,286.0,10832.0,320.6
899,900,Summoner,https://www.fflogs.com/reports/tVDxBaXzrwW81TNj#fight=9&type=damage-done,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,11046.1,1140.9,10374.3,129.4,11411.3,141.9,10094.9,190.1,11479.2,71.6,12482.5,286.1,10913.2,321.7
900,901,Summoner,https://www.fflogs.com/reports/adHqwm3pC7gztvYQ#fight=6&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,11045.9,1143.4,9803.8,129.1,11631.6,143.2,10747.6,191.0,10495.9,71.6,12258.2,286.1,11032.1,322.4
901,902,Ninja,https://www.fflogs.com/reports/zkK8dGH1h4NVC632#fight=8&type=damage-done,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,11044.8,1145.8,10236.9,130.2,11611.4,143.9,11440.6,191.2,8731.7,71.6,12516.7,286.0,10643.8,323.0
